gid,startdistrictid,enddistrictid
43170,5,1
48270,11,11
43183,25,23
43628,1,23
44987,22,30
266239,4,7
7061,4,4
3211,22,30
226110,,
47303,5,22
47208,,
138682,24,24
112439,,
251366,,25
216181,,
139955,11,16
252012,13,13
141012,22,22
166086,,
51603,23,23
83434,,
54560,24,24
147019,,
52789,32,32
211288,,
148496,4,4
54672,28,28
147573,5,24
285833,,
218082,,
262667,25,
59019,10,10
151149,24,24
61411,24,22
68806,,
144388,,
102717,,
155694,,
76061,7,2
83844,5,5
204036,,
77733,4,4
104088,10,20
248895,,
234107,18,24
729,25,
144513,,
206040,5,5
206448,16,16
216253,22,22
79080,24,24
88905,7,
222279,27,1
232922,,
261819,,
231840,7,33
232044,4,4
232055,24,24
11284,16,16
236747,4,4
235615,5,4
199988,7,33
236880,8,8
112088,,
51154,,
192448,,
13710,23,23
169734,,
218821,20,13
246116,,
247915,13,
248010,20,25
222610,5,5
223172,7,4
76500,,
259659,5,5
106509,,
77509,16,25
85411,,
41745,,
64378,,
229327,,
97700,22,22
98427,23,23
187926,22,22
207950,24,27
162460,33,33
99270,30,16
285460,5,5
49585,22,4
104362,,
106993,27,24
107450,4,5
108591,22,22
108701,33,33
114583,24,18
262313,16,16
4533,7,
71918,22,22
271405,7,7
4907,30,
277504,2,2
286815,24,4
7556,25,25
277139,4,4
278195,24,24
11348,24,24
282764,4,22
223762,,
11850,,
78227,27,27
14852,26,26
14305,25,
15907,5,27
289873,,
10500,23,4
116399,23,23
118590,16,
119709,20,14
28543,16,16
6948,,24
9298,4,4
22444,,
130689,25,
23027,19,
97749,22,22
97821,24,24
140116,5,5
188223,,
146995,5,4
166136,,
147578,24,24
149070,5,24
129802,24,24
121685,,
160652,4,4
175682,4,4
151505,23,23
155446,4,4
155145,25,25
175478,23,23
204106,,
176281,22,22
176978,3,3
213687,,
178273,16,16
46815,23,23
52334,,
159576,16,16
194805,27,22
211888,16,27
159735,2,2
200731,23,23
64394,30,18
64201,25,
140362,,
257729,24,29
85708,22,22
265211,16,16
261546,8,8
264992,,
142667,4,4
87806,23,23
88671,7,7
262121,5,5
262264,24,18
264599,8,8
267595,13,26
267835,,
270864,23,23
270811,10,
100630,4,7
93202,,
271595,4,7
